State,Time_Series,Median_Sales_Price
California,2008,317580
California,2009,234860
California,2010,263360
California,2011,248010
California,2012,261850
California,2013,333400
California,2014,372890
Florida,2008,179020
Florida,2009,132880
Florida,2010,121180
Florida,2011,112040
Florida,2012,120830
Florida,2013,138650
Florida,2014,149260
Massachussets,2008,289230
Massachussets,2009,266270
Massachussets,2010,284940
Massachussets,2011,274190
Massachussets,2012,281200
Massachussets,2013,303330
Massachussets,2014,316130
North Carolina,2008,146480
North Carolina,2009,144040
North Carolina,2010,144940
North Carolina,2011,139750
North Carolina,2012,141410
North Carolina,2013,146960
North Carolina,2014,150360
