DATE,USNP
2000-01-01,34054267
2000-04-01,36081203
2000-07-01,38269942
2000-10-01,42250259
2001-01-01,45322598
2001-04-01,47901074
2001-07-01,50855316
2001-10-01,53593526
2002-01-01,56000811
2002-04-01,57476159
2002-07-01,60245588
2002-10-01,59584529
2003-01-01,58003659
2003-04-01,55996672
2003-07-01,53436613
2003-10-01,52118380
2004-01-01,47861213
2004-04-01,44299389
2004-07-01,43273448
2004-10-01,41468302
2005-01-01,39183845
2005-04-01,39219128
2005-07-01,39040240
2005-10-01,39651123
2006-01-01,38443894
2006-04-01,38903739
2006-07-01,41458150
2006-10-01,45885294
2007-01-01,47731965
2007-04-01,51987123
2007-07-01,63833366
2007-10-01,86800431
2008-01-01,106944773
2008-04-01,127011788
2008-07-01,156216454
2008-10-01,199649784
2009-01-01,247787081
2009-04-01,289640178
2009-07-01,325386269
2009-10-01,361295684
2010-01-01,374712731
2010-04-01,350070054
2010-07-01,341070489
2010-10-01,323736777
2011-01-01,308330225
2011-04-01,290373457
2011-07-01,284815640
2011-10-01,283880167
2012-01-01,279100722
2012-04-01,268157458
2012-07-01,269038138
2012-10-01,253837307
2013-01-01,239761523
2013-04-01,219716613
2013-07-01,202955591
2013-10-01,190381265
2014-01-01,179813290
2014-04-01,166115788
2014-07-01,157000545
2014-10-01,147590545
2015-01-01,138810059
2015-04-01,130992882
2015-07-01,125850998
2015-10-01,124963010
2016-01-01,128590815
2016-04-01,124108671
2016-07-01,120971328
2016-10-01,118831757
2017-01-01,111936584
2017-04-01,104212021
2017-07-01,102553750
2017-10-01,103975541
2018-01-01,99163508
2018-04-01,93148853
2018-07-01,89699017
2018-10-01,88550213
2019-01-01,88760914
2019-04-01,84808458
2019-07-01,84016628
2019-10-01,83243149
